"Id_Loja","Departamento","Categoria","SubCategoria","Marca","Unidade","Volume","codigo_barra","Nome","dt_cadastro","dt_ultima_alteracao","vlr_produto","vlr_promocao","qtd_estoque_atual","qtd_estoque_minimo","Descricao","ativo","plu","vlr_compra","validade_proxima","qtd_atacado","image_url"
"201",LIMPEZA,LIMPEZA GERAL,DESINFETANTES PINHO,"",UN,"1",7896090800681,DESINF REAL LAV 2L,"10/03/2072","03/08/2020",8.15,0.00,100.0000,10.0000,DESINF REAL LAVANDA 2L,S,"698423",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/7896090800681.png
"201",LIMPEZA,LIMPEZA DE ROUPA,DETERGENTE PO,"",UN,"1",7896090801633,DET PO POL COCO 500GR,"03/08/2020","03/08/2020",10.34,0.00,100.0000,10.0000,DETERG PO POLAR COCO 500GR,S,"1284410",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/7896090801633.png
"201",LIMPEZA,LIMPEZA DE ROUPA,SABAO PEDRA,"",PT,"1",7896090806560,SABAO POL COCO 5X200GR,"03/08/2020","03/08/2020",18.96,0.00,100.0000,10.0000,SABAO POLAR COCO 5X200GR,S,"108529",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/7896090806560.png
"201",LIMPEZA,LIMPEZA DE ROUPA,SABAO PEDRA,"",PT,"1",7896090806577,SABAO POL COCO 5X100G,"03/08/2020","03/08/2020",9.53,0.00,100.0000,10.0000,SABAO POLAR COCO 5X100GR,S,"294683",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/7896090806577.png
"201",LIMPEZA,LIMPEZA DE ROUPA,SABAO PEDRA,"",UN,"1",7896090806591,SABAO POL COCO 100GR,"03/08/2020","03/08/2020",1.90,0.00,100.0000,100.0000,SABAO POLAR COCO 100GR,S,"989070",1.21,N,0,http://db.buzzer.com.br/middleware/imagens/7896090806591.png
"201",LIMPEZA,LIMPEZA DE ROUPA,SABAO PEDRA,"",UN,"1",7896090807246,SABAO REAL GLIC 5X200G,"03/08/2020","03/08/2020",9.99,0.00,100.0000,10.0000,SABAO REAL GLIC NEUTRO 5X200G,S,"255661",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/7896090807246.png
"201",LIMPEZA,LIMPEZA DE ROUPA,SABAO PEDRA,"",UN,"1",7896090807253,SABAO REAL NEUTRO 200G,"03/08/2020","03/08/2020",2.24,0.00,100.0000,50.0000,SABAO REAL NEUTRO 200G,S,"1675125",1.38,N,0,http://db.buzzer.com.br/middleware/imagens/7896090807253.png
"201",LIMPEZA,LIMPEZA GERAL,DESINFETANTES PINHO,"",UN,"1",7896090810413,DESINF REAL FRESC CITR,"03/08/2020","03/08/2020",2.98,0.00,100.0000,10.0000,DESINF REAL FRESCOR CITRICO 500ML,S,"989100",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/7896090810413.png
"201",PERFUMARIA/HIG.PESSOAL,INFANTIL (TOUCADOR),SABONETES,"",UN,"1",7896094905634,SAB POMPOM 80G,"03/08/2020","03/08/2020",2.40,0.00,100.0000,10.0000,SAB POMPOM HIDRATANTE 80GR 160080,S,"107069",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/7896094905634.png
"201",MERCEARIA - SECA,ADOCANTES,LIQUIDO,"",UN,"1",7896094906624,ADOC LIQ ZERO CAL 100M,"03/08/2020","03/08/2020",11.49,0.00,100.0000,12.0000,ADOC LIQ ZERO CAL SUCRALOSE 100ML,S,"1550330",6.11,N,0,http://db.buzzer.com.br/middleware/imagens/7896094906624.png
"201",MERCEARIA - SECA,ADOCANTES,ADOCANTES PO,"",UN,"1",7896094906648,ADOC PO ZERO CAL 8G,"03/08/2020","03/08/2020",8.27,0.00,100.0000,10.0000,ADOC PO ZERO CAL SUCRALOSE 8G171000,S,"1550322",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/7896094906648.png
"201",MERCEARIA - SECA,ADOCANTES,LIQUIDO,"",FR,"1",7896094910904,ADOC ZERO CAL 100ML,"03/08/2020","03/08/2020",6.54,0.00,100.0000,10.0000,ADOC LIQ ZERO CAL 100ML FR 2600,S,"170240",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/7896094910904.png
"201",MERCEARIA - SECA,ADOCANTES,LIQUIDO,"",UN,"1",7896094910959,ADOC ZERO CAL 200ML,"03/08/2020","03/08/2020",11.49,0.00,100.0000,10.0000,ADOC LIQ ZERO CAL 200ML FR 456,S,"194298",6.68,N,0,http://db.buzzer.com.br/middleware/imagens/7896094910959.png
"201",MERCEARIA - SECA,ADOCANTES,LIQUIDO,"",UN,"1",7896094911000,ADOC ZERO CAL 100ML,"03/08/2020","03/08/2020",17.12,0.00,100.0000,10.0000,ADOC LIQ ZERO CAL 100ML ASPART 8629,S,"208701",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/7896094911000.png
